Book: 0062700782 sorted results:
[price: 25.0, shipFee: 3.99, condition: New, positive: 97, rating: 4158]
[price: 32.0, shipFee: 0.0, condition: New, positive: 97, rating: 3343]
[price: 30.0, shipFee: 3.99, condition: Used - Like New, positive: 97, rating: 378]
[price: 39.99, shipFee: 4.99, condition: Used - Like New, positive: 97, rating: 18653]
[price: 50.0, shipFee: 3.99, condition: Collectible - Like New, positive: 99, rating: 663]
[price: 50.0, shipFee: 3.99, condition: New, positive: 99, rating: 663]
[price: 74.51, shipFee: 4.97, condition: New, positive: 96, rating: 10325]
Book: 0691007780 sorted results:
[price: 1.99, shipFee: 3.99, condition: Used - Acceptable, positive: 96, rating: 156627]
[price: 5.99, shipFee: 0.0, condition: Used - Acceptable, positive: 96, rating: 216093]
[price: 5.99, shipFee: 0.0, condition: Used - Acceptable, positive: 96, rating: 953952]
[price: 7.3, shipFee: 0.0, condition: Used - Acceptable, positive: 95, rating: 23481]
[price: 4.0, shipFee: 3.97, condition: Used - Acceptable, positive: 98, rating: 199940]
[price: 4.72, shipFee: 3.99, condition: Used - Good, positive: 95, rating: 10009]
[price: 4.99, shipFee: 3.99, condition: Used - Acceptable, positive: 97, rating: 308323]
[price: 5.2, shipFee: 3.99, condition: Used - Acceptable, positive: 100, rating: 4571]
[price: 9.61, shipFee: 0.0, condition: Used - Good, positive: 100, rating: 5372]
[price: 4.45, shipFee: 5.49, condition: Used - Good, positive: 100, rating: 4220]
[price: 6.3, shipFee: 3.99, condition: Used - Good, positive: 95, rating: 55740]
[price: 10.49, shipFee: 0.0, condition: Used - Good, positive: 98, rating: 19071]
[price: 8.98, shipFee: 3.99, condition: Used - Acceptable, positive: 95, rating: 560]
[price: 9.0, shipFee: 3.99, condition: Used - Good, positive: 95, rating: 22875]
[price: 9.99, shipFee: 3.99, condition: Used - Good, positive: 98, rating: 4526]
[price: 13.99, shipFee: 0.0, condition: Used - Acceptable, positive: 97, rating: 1295]
[price: 10.71, shipFee: 3.99, condition: Used - Good, positive: 98, rating: 5605]
[price: 12.5, shipFee: 3.99, condition: Used - Like New, positive: 96, rating: 1157]
[price: 18.97, shipFee: 0.0, condition: Used - Very Good, positive: 100, rating: 1149]
[price: 14.85, shipFee: 4.97, condition: Used - Very Good, positive: 100, rating: 3571]
[price: 21.89, shipFee: 3.99, condition: Used - Like New, positive: 98, rating: 3539]
[price: 21.99, shipFee: 3.99, condition: Used - Like New, positive: 99, rating: 353]
[price: 25.0, shipFee: 3.99, condition: Used - Very Good, positive: 97, rating: 6308]
[price: 25.0, shipFee: 3.99, condition: Used - Very Good, positive: 100, rating: 690]
[price: 25.58, shipFee: 3.99, condition: Used - Good, positive: 96, rating: 134607]
[price: 25.72, shipFee: 3.99, condition: Used - Very Good, positive: 99, rating: 54484]
[price: 26.13, shipFee: 3.99, condition: Used - Very Good, positive: 100, rating: 223]
[price: 26.24, shipFee: 3.99, condition: New, positive: 96, rating: 67959]
[price: 29.08, shipFee: 3.99, condition: Used - Like New, positive: 95, rating: 443]
[price: 32.99, shipFee: 3.99, condition: Used - Good, positive: 100, rating: 248]
[price: 38.18, shipFee: 0.0, condition: New, positive: 96, rating: 272877]
[price: 51.83, shipFee: 0.0, condition: New, positive: 95, rating: 473213]
[price: 49.48, shipFee: 3.99, condition: New, positive: 98, rating: 1077]
[price: 50.68, shipFee: 3.99, condition: New, positive: 97, rating: 359317]
[price: 58.11, shipFee: 0.0, condition: New, positive: 98, rating: 5833]
[price: 60.93, shipFee: 3.99, condition: New, positive: 95, rating: 55740]
[price: 74.7, shipFee: 4.97, condition: New, positive: 96, rating: 10325]
[price: 572.64, shipFee: 3.99, condition: New, positive: 98, rating: 1077]
Book: 0517144352 sorted results:
[price: 8.57, shipFee: 0.0, condition: Used - Good, positive: 96, rating: 503]
[price: 8.57, shipFee: 0.0, condition: Used - Good, positive: 96, rating: 1823611]
[price: 8.57, shipFee: 0.0, condition: Used - Good, positive: 100, rating: 631598]
[price: 7.14, shipFee: 3.99, condition: Used - Good, positive: 95, rating: 55740]
[price: 10.0, shipFee: 3.99, condition: Used - Good, positive: 100, rating: 763]
[price: 11.38, shipFee: 3.99, condition: Used - Good, positive: 95, rating: 25974]
[price: 12.0, shipFee: 3.99, condition: Used - Very Good, positive: 98, rating: 880]
[price: 12.0, shipFee: 3.99, condition: Used - Very Good, positive: 98, rating: 4742]
[price: 12.5, shipFee: 4.0, condition: Used - Good, positive: 98, rating: 441]
[price: 13.25, shipFee: 3.97, condition: Used - Acceptable, positive: 98, rating: 199940]
[price: 14.95, shipFee: 3.99, condition: Used - Very Good, positive: 98, rating: 4938]
[price: 16.98, shipFee: 3.99, condition: Used - Acceptable, positive: 97, rating: 434]
[price: 18.82, shipFee: 3.99, condition: Used - Very Good, positive: 95, rating: 25974]
[price: 18.95, shipFee: 3.99, condition: Used - Very Good, positive: 100, rating: 205]
[price: 19.88, shipFee: 3.99, condition: Collectible - Very Good, positive: 100, rating: 650]
[price: 20.5, shipFee: 3.99, condition: Used - Like New, positive: 100, rating: 380]
[price: 19.99, shipFee: 4.99, condition: Used - Very Good, positive: 97, rating: 6171]
[price: 24.95, shipFee: 3.99, condition: Used - Like New, positive: 97, rating: 4784]
[price: 25.0, shipFee: 4.99, condition: Used - Very Good, positive: 96, rating: 6390]
[price: 28.0, shipFee: 3.99, condition: Used - Very Good, positive: 96, rating: 1228]
[price: 25.65, shipFee: 6.5, condition: Used - Like New, positive: 95, rating: 5569]
[price: 29.41, shipFee: 3.99, condition: Used - Like New, positive: 95, rating: 25974]
[price: 29.95, shipFee: 3.99, condition: Used - Very Good, positive: 97, rating: 325]
[price: 37.75, shipFee: 3.99, condition: New, positive: 96, rating: 2671]
[price: 38.0, shipFee: 3.99, condition: Used - Very Good, positive: 96, rating: 2338]
[price: 39.99, shipFee: 4.99, condition: Used - Like New, positive: 97, rating: 18653]
[price: 41.01, shipFee: 3.99, condition: New, positive: 98, rating: 9004]
[price: 45.22, shipFee: 3.99, condition: New, positive: 98, rating: 1077]
[price: 64.95, shipFee: 3.99, condition: Collectible - Very Good, positive: 99, rating: 1612]
[price: 80.64, shipFee: 5.89, condition: New, positive: 96, rating: 10325]
Book: 0198221681 sorted results:
[price: 8.05, shipFee: 0.0, condition: Used - Good, positive: 95, rating: 9270]
[price: 8.05, shipFee: 0.0, condition: Used - Good, positive: 95, rating: 9270]
[price: 8.05, shipFee: 0.0, condition: Used - Good, positive: 98, rating: 147947]
[price: 4.14, shipFee: 3.99, condition: Used - Good, positive: 96, rating: 8639]
[price: 13.03, shipFee: 0.0, condition: Used - Like New, positive: 99, rating: 1321]
[price: 10.21, shipFee: 3.99, condition: Used - Good, positive: 95, rating: 55740]
[price: 11.95, shipFee: 3.99, condition: Used - Very Good, positive: 96, rating: 410396]
[price: 19.99, shipFee: 0.0, condition: Used - Good, positive: 100, rating: 435]
[price: 19.99, shipFee: 0.0, condition: Used - Good, positive: 100, rating: 1489]
[price: 16.84, shipFee: 3.99, condition: Used - Acceptable, positive: 96, rating: 5285]
[price: 18.0, shipFee: 3.99, condition: Used - Acceptable, positive: 99, rating: 3520]
[price: 29.79, shipFee: 3.99, condition: Used - Acceptable, positive: 100, rating: 342]
[price: 29.79, shipFee: 3.99, condition: Used - Acceptable, positive: 100, rating: 342]
[price: 30.0, shipFee: 3.99, condition: Used - Good, positive: 99, rating: 3886]
[price: 35.95, shipFee: 0.0, condition: Used - Very Good, positive: 100, rating: 196]
[price: 32.0, shipFee: 3.99, condition: Used - Good, positive: 97, rating: 9533]
[price: 34.67, shipFee: 3.99, condition: Used - Good, positive: 96, rating: 134607]
[price: 42.39, shipFee: 0.0, condition: New, positive: 96, rating: 272879]
[price: 39.99, shipFee: 4.99, condition: Used - Like New, positive: 97, rating: 18653]
[price: 43.88, shipFee: 3.99, condition: New, positive: 97, rating: 9465]
[price: 48.06, shipFee: 3.99, condition: Used - Like New, positive: 97, rating: 3156]
[price: 48.9, shipFee: 3.99, condition: New, positive: 99, rating: 17214]
[price: 50.46, shipFee: 3.99, condition: Used - Like New, positive: 97, rating: 617]
[price: 51.42, shipFee: 3.99, condition: Used - Very Good, positive: 97, rating: 3048]
[price: 57.45, shipFee: 3.99, condition: New, positive: 98, rating: 1077]
[price: 63.67, shipFee: 0.0, condition: New, positive: 95, rating: 473213]
[price: 86.68, shipFee: 0.0, condition: New, positive: 96, rating: 1193]
[price: 130.68, shipFee: 3.99, condition: New, positive: 95, rating: 443]
[price: 200.0, shipFee: 0.0, condition: Used - Good, positive: 99, rating: 1964]
[price: 9999.0, shipFee: 3.99, condition: Used - Acceptable, positive: 100, rating: 1096]
Book: 0140095276 sorted results:
[price: 1.16, shipFee: 3.99, condition: Used - Acceptable, positive: 96, rating: 21788]
[price: 5.29, shipFee: 0.0, condition: Used - Good, positive: 95, rating: 9269]
[price: 5.29, shipFee: 0.0, condition: Used - Good, positive: 95, rating: 9270]
[price: 5.99, shipFee: 0.0, condition: Used - Acceptable, positive: 95, rating: 84022]
[price: 5.99, shipFee: 0.0, condition: Used - Acceptable, positive: 96, rating: 216093]
[price: 5.99, shipFee: 0.0, condition: Used - Acceptable, positive: 96, rating: 284339]
[price: 5.99, shipFee: 0.0, condition: Used - Acceptable, positive: 96, rating: 468799]
[price: 2.29, shipFee: 3.99, condition: Used - Good, positive: 96, rating: 715385]
[price: 2.67, shipFee: 3.99, condition: Used - Good, positive: 97, rating: 3846]
[price: 3.58, shipFee: 3.95, condition: Used - Good, positive: 97, rating: 7610]
[price: 5.0, shipFee: 3.99, condition: Used - Good, positive: 97, rating: 29938]
[price: 5.98, shipFee: 3.99, condition: Used - Good, positive: 95, rating: 55740]
[price: 7.99, shipFee: 3.99, condition: Used - Good, positive: 97, rating: 14535]
[price: 13.28, shipFee: 0.0, condition: Used - Good, positive: 97, rating: 129]
[price: 13.29, shipFee: 0.0, condition: Used - Acceptable, positive: 100, rating: 1160]
[price: 13.31, shipFee: 0.0, condition: Used - Very Good, positive: 100, rating: 7617]
[price: 13.99, shipFee: 0.0, condition: Used - Acceptable, positive: 98, rating: 19071]
[price: 10.25, shipFee: 3.99, condition: Used - Good, positive: 95, rating: 527]
[price: 10.29, shipFee: 3.99, condition: Used - Good, positive: 95, rating: 25974]
[price: 13.36, shipFee: 3.99, condition: Used - Good, positive: 96, rating: 2202]
[price: 39.99, shipFee: 4.99, condition: Used - Like New, positive: 97, rating: 18653]
[price: 54.74, shipFee: 3.99, condition: New, positive: 98, rating: 9004]
[price: 70.27, shipFee: 4.76, condition: New, positive: 96, rating: 10325]
[price: 2375.0, shipFee: 0.0, condition: Used - Good, positive: 96, rating: 10325]
Book: 0521376793 sorted results:
[price: 5.69, shipFee: 0.0, condition: Used - Good, positive: 95, rating: 9270]
[price: 5.99, shipFee: 0.0, condition: Used - Acceptable, positive: 96, rating: 468800]
[price: 2.2, shipFee: 3.99, condition: Used - Acceptable, positive: 97, rating: 56326]
[price: 6.48, shipFee: 0.0, condition: Used - Good, positive: 98, rating: 189757]
[price: 4.05, shipFee: 3.99, condition: Used - Acceptable, positive: 97, rating: 308323]
[price: 5.19, shipFee: 3.99, condition: Used - Good, positive: 98, rating: 4526]
[price: 5.19, shipFee: 3.99, condition: Used - Good, positive: 98, rating: 4526]
[price: 6.39, shipFee: 3.99, condition: Used - Good, positive: 97, rating: 15996]
[price: 6.39, shipFee: 3.99, condition: Used - Good, positive: 98, rating: 5605]
[price: 7.99, shipFee: 3.99, condition: Used - Good, positive: 98, rating: 10161]
[price: 12.47, shipFee: 0.0, condition: Used - Good, positive: 99, rating: 3060]
[price: 12.97, shipFee: 0.0, condition: Used - Good, positive: 98, rating: 205]
[price: 12.99, shipFee: 0.0, condition: Used - Very Good, positive: 96, rating: 7003]
[price: 14.47, shipFee: 3.99, condition: Used - Good, positive: 99, rating: 2177]
[price: 19.99, shipFee: 0.0, condition: Used - Very Good, positive: 100, rating: 3058]
[price: 21.0, shipFee: 3.99, condition: Used - Very Good, positive: 98, rating: 1468]
[price: 26.0, shipFee: 0.0, condition: Used - Very Good, positive: 98, rating: 88163]
[price: 32.71, shipFee: 0.0, condition: New, positive: 96, rating: 272878]
[price: 34.03, shipFee: 3.99, condition: Used - Like New, positive: 97, rating: 3156]
[price: 38.08, shipFee: 0.0, condition: New, positive: 95, rating: 473213]
[price: 35.74, shipFee: 3.99, condition: Used - Like New, positive: 97, rating: 617]
[price: 36.73, shipFee: 3.99, condition: Used - Very Good, positive: 95, rating: 443]
[price: 37.17, shipFee: 3.99, condition: New, positive: 99, rating: 17214]
[price: 42.61, shipFee: 0.0, condition: New, positive: 95, rating: 61692]
[price: 39.46, shipFee: 3.99, condition: New, positive: 95, rating: 443]
[price: 39.46, shipFee: 3.99, condition: Used - Like New, positive: 95, rating: 443]
[price: 43.69, shipFee: 0.0, condition: New, positive: 97, rating: 359317]
[price: 39.99, shipFee: 4.99, condition: Used - Like New, positive: 97, rating: 18653]
[price: 45.91, shipFee: 0.0, condition: New, positive: 99, rating: 428923]
[price: 42.25, shipFee: 3.99, condition: New, positive: 98, rating: 1077]
[price: 42.65, shipFee: 3.99, condition: Used - Very Good, positive: 95, rating: 509]
[price: 47.73, shipFee: 3.99, condition: New, positive: 95, rating: 55740]
[price: 54.16, shipFee: 0.0, condition: New, positive: 97, rating: 368]
[price: 76.98, shipFee: 5.0, condition: New, positive: 95, rating: 1407]
[price: 99.24, shipFee: 5.0, condition: New, positive: 96, rating: 10325]
[price: 4892.0, shipFee: 3.99, condition: Used - Acceptable, positive: 100, rating: 1096]
Book: 0674179250 sorted results:
[price: 19.35, shipFee: 0.0, condition: Used - Acceptable, positive: 95, rating: 478313]
[price: 19.35, shipFee: 0.0, condition: Used - Good, positive: 95, rating: 84022]
[price: 15.4, shipFee: 3.99, condition: Used - Acceptable, positive: 99, rating: 2643]
[price: 26.2, shipFee: 3.99, condition: Used - Good, positive: 95, rating: 55740]
[price: 55.0, shipFee: 4.39, condition: Used - Very Good, positive: 100, rating: 690]
[price: 85.0, shipFee: 3.99, condition: Collectible - Very Good, positive: 97, rating: 5364]
